f__BIrii41,f__Streptococcaceae,f__Alcaligenaceae,f__Ruminococcaceae,f__Deferribacteraceae,f__Micrococcaceae,f__Bogoriellaceae,f__Corynebacteriaceae,f__Christensenellaceae,f__Brucellaceae,f__Pseudomonadaceae,f__Eubacteriaceae,f__Coriobacteriaceae,f__Cryomorphaceae,f__Halomonadaceae,f__MWH-CFBk5,f__Family_XI,f__Lactobacillaceae,f__Hahellaceae,f__Desulfovibrionaceae,f__Mitochondria,f__Caldicoprobacteraceae,f__Sphingobacteriaceae,f__Parachlamydiaceae,f__Nocardiopsaceae,f__Bradyrhizobiaceae,f__Methylococcaceae,f__Bacillaceae,f__Acidaminococcaceae,f__Veillonellaceae,f__Anaerolineaceae,f__Rhodospirillaceae,f__Brachyspiraceae,f__Neisseriaceae,f__Bacteroidaceae,f__Enterococcaceae,f__Peptostreptococcaceae,f__Pasteurellaceae,f__Erysipelotrichaceae,f__Limnochordaceae,f__Helicobacteraceae,f__Clostridiales_vadinBB60_group,f__Cytophagaceae,f__Haloplasmataceae,f__Anaeroplasmataceae,f__Thermomonosporaceae,f__Comamonadaceae,f__Xanthomonadaceae,f__Lachnospiraceae,f__Idiomarinaceae,f__Synergistaceae,f__Verrucomicrobiaceae,f__Flavobacteriaceae,f__Leuconostocaceae,f__Bacteroidales_S24-7_group,f__Unknown_Family,f__Rikenellaceae,f__Aerococcaceae,f__Bifidobacteriaceae,f__Paenibacillaceae,f__Pseudonocardiaceae,f__wallaby_gut_metagenome,f__Staphylococcaceae,f__Planococcaceae,f__Porphyromonadaceae,f__Alcanivoracaceae,f__Peptococcaceae,f__Microbacteriaceae,f__Carnobacteriaceae,f__Family_XIII,f__Enterobacteriaceae,f__unidentified,f__Triticum_aestivum_bread_wheat,f__Defluviitaleaceae,f__Clostridiaceae_1,f__Moraxellaceae,f__Mycoplasmataceae,f__Rhizobiaceae,f__Rs-E47_termite_group,f__Prevotellaceae
0,0.000385193,0.006740881,0.095296791,0.001887447,0,0,0,3.85E-05,0,0,3.85E-05,0.005200108,0,0,0,0,0.018797427,0,0.023959015,7.70E-05,0,0,0,0,0,0,7.70E-05,0,0,0,0.001771889,0,0,0.079157197,0,0.005354185,0,0.027002042,0,0.036747429,3.85E-05,0,0,0,0,0,0,0.19413736,0,0,0.00111706,0,0,0.377258195,0.000770386,0.012018027,3.85E-05,0.000231116,0,0,0,0,0,0.027271677,0,0.006663842,0,0,0.002118562,0.000115558,0.012711375,0,0,0.000192597,0,0.006548284,0,0,0.056238203
0,0.000269635,0.013019529,0.012942491,7.70E-05,0,0,0,7.70E-05,0,0,3.85E-05,0.00562382,0,0,0,0,0.010207619,0,0.002041524,3.85E-05,0,0,0,0,0,0,0,0,0,0,0.000346674,0,0,0.104656985,0.000115558,0.004583799,0,0.037132622,0,0.006471245,0,0,0,0,0,0,0,0.043141636,0,0,0.06941181,7.70E-05,0,0.409190709,0,0.015138092,0,0.000231116,0,0,0,3.85E-05,0,0.075189708,0,0.001040022,0,0,0.00111706,0,0.008204615,0,0,0.000115558,0,0.000115558,0,3.85E-05,0.179307423
0,0.000192597,0.007472748,0.127730057,0.001194099,0,0,7.70E-05,0.000154077,0,0,0,0.001579292,0,0,0,0,0.008782404,0,0.025268672,7.70E-05,7.70E-05,0,0,0,0,0,0,0,0,0,0.003851932,0,0,0.053657409,0,0.013366203,0,0.020993028,0,0.037094103,0.001463734,0,0,0.006086052,0,0,0,0.299179539,0,0,0.003543777,0.000192597,0,0.219097878,0.000269635,0.022957513,0,0.000154077,0,0,0,3.85E-05,0,0.037903008,0,0.006009014,0,0,0.00169485,0,0.014521783,0,0,0.000154077,0.000115558,0.001540773,0,0,0.08350988
0,0.000385193,0.00901352,0.088093679,0.000731867,0,0,0,0,0,0,0,0.004391202,0,0,0,0,0.020068564,0,0.007087554,3.85E-05,0,0,0,0,0,0,3.85E-05,0,0,0,0.002542275,0,0,0.066484342,0.000423712,0.018181118,0,0.027772428,0,0.037710412,0.000231116,0,0,3.85E-05,0,0,0,0.171295405,0,0,0.016678864,7.70E-05,0,0.308539733,0.002041524,0.027387235,0,0.000346674,0,0,0,0.000154077,0,0.030122106,0,0.002311159,3.85E-05,0,0.00227264,0,0.016524787,0,0,0.000808906,0,0.003466739,0,0,0.134702053
0,7.70E-05,0.004737876,0.145641539,0.01186395,0,0,0,0,0,0,0,0.006124571,0,0,0,0,0.00731867,0,0.033126613,0,0,3.85E-05,0,0,0,0,0,0,0,3.85E-05,0.000847425,0,0,0.032895497,0.001078541,0,0,0.018797427,0,0.063556874,0.002927468,0,0,0,0,0,0,0.37864489,0,0,0,0.000231116,0,0.161434459,0.001001502,0.022533801,0,3.85E-05,0,0,0,3.85E-05,0,0.005970494,0,0.012287662,0,0,0.004853434,0,0.004930473,0,0,0.000269635,0,0.000885944,0,0.000616309,0.077192712
0,0.000154077,0.014329186,0.023573822,0.000269635,0,0,0,0,0,0,0.000192597,0.004429722,0,0,0,0,0.122568468,0,0.010438735,0,0,0,0,0,0,0,0,0,0,0,0.002311159,0,0,0.040714919,0.000154077,0,0,0.005277146,0,0.013250645,0.00223412,0,0,0.000847425,0,3.85E-05,0,0.294942414,0,0,0.078502369,0,0,0.263125457,0.00057779,0.007665344,0,0,0,0,0,0,0,0.040560841,0,0.000924464,0,0,0.00223412,0.000231116,0.007703863,0,0,0.001078541,0,0.002580794,0,0.000346674,0.058741959
0,0.000885944,0.001232618,0.089942606,0.000654828,0,0,0,0.000115558,0,3.85E-05,0.000154077,0.005161589,0,0,3.85E-05,3.85E-05,0.145217827,0,0.014329186,0,0,0,0,0,3.85E-05,0,0,0,0,0,0.000462232,0,0,0.021185625,0.00053927,0,0,0.00789646,0,0.011940988,0.003235623,3.85E-05,0,0,3.85E-05,3.85E-05,0.000154077,0.457339856,0,0,0.035283695,0,0,0.139748084,0.005931975,0.009398713,0,0,0,0,0,0,0,0.004853434,0,0.002888949,0,0,0.004198606,0.000231116,0.015446246,0,0,0.00620161,3.85E-05,0.00227264,7.70E-05,0.000154077,0.012557297
0,0.00057779,0.006471245,0.070182196,0.001579292,3.85E-05,0,0,0.000231116,0,3.85E-05,7.70E-05,0.002080043,0,0,0,0,0.073494858,0,0.012210624,0.000154077,0,0,0,0,3.85E-05,0,0,0,0,0,0.001810408,0,0,0.028696891,0.000385193,0,0,0.012826933,0,0.015446246,0.002003005,0,0,0,0,3.85E-05,3.85E-05,0.19976118,0,0,0.025923501,0,0,0.22067717,0.001425215,0.01186395,0,0,0,0,0,3.85E-05,0,0.034474789,0,0.002311159,0,0.000115558,0.001887447,0.00053927,0.006625323,3.85E-05,0,0.0033897,0.000154077,0.000962983,0,0.001194099,0.260197989
0,0.001771889,0.003851932,0.136358384,3.85E-05,0,0,3.85E-05,0,0,3.85E-05,3.85E-05,0.004237125,0,0,0,0,0.029968029,0,0.010015023,0,0,0,0,0,0,0,3.85E-05,0,0,0,0.002041524,0,0,0.034937021,0.00223412,0,0,0.024344209,0,0.01298101,0.003158584,0,0,0.000308155,0,7.70E-05,7.70E-05,0.235198952,0,0,0.089403336,3.85E-05,0,0.284773314,0.000231116,0.012711375,0,0,0,0,0,0,0,0.030237664,0,0.001001502,0,0,0.004121567,0.000500751,0.007973499,3.85E-05,0,0.000231116,0,0.001078541,0,0.001617811,0.064288741
0,0.00115558,0.006471245,0.050344748,0,3.85E-05,0,0,0,0,3.85E-05,3.85E-05,0.006586803,0,0,0,0,0.074534879,0,0.003428219,0.000654828,0,0,0,0,0,0,0.000154077,0,0,3.85E-05,0.00053927,0,0,0.076807519,0.000808906,0,0,0.006586803,0,0.007434228,0.003505258,0,0,0.010477254,0,7.70E-05,3.85E-05,0.093717499,0,0,0.004198606,0,3.85E-05,0.367743924,0.002157082,0.025615346,0,0,0,0,0,0.000115558,0,0.030314703,0,0.000924464,0,0,0.001810408,0.000847425,0.013096568,0.000462232,0,0.003466739,3.85E-05,0.0033897,3.85E-05,0.001810408,0.200454528
