o__Deferribacterales,o__Triticum_aestivum_bread_wheat,o__Pseudomonadales,o__Erysipelotrichales,o__Anaeroplasmatales,o__Neisseriales,o__Verrucomicrobiales,o__Haloplasmatales,o__Rickettsiales,o__Micrococcales,o__Rhizobiales,o__Selenomonadales,o__Limnochordales,o__Methylococcales,o__Desulfovibrionales,o__Corynebacteriales,o__Burkholderiales,o__Pseudonocardiales,o__Mollicutes_RF9,o__Spirochaetales,o__Campylobacterales,o__Bifidobacteriales,o__Oceanospirillales,o__Flavobacteriales,o__Streptosporangiales,o__Xanthomonadales,o__Pasteurellales,o__Alteromonadales,o__Lactobacillales,o__C178B,o__Coriobacteriales,o__Chlamydiales,o__Bacillales,o__NB1-n,o__Enterobacteriales,o__Anaerolineales,o__Unknown_Order,o__Sphingobacteriales,o__Rhodospirillales,o__Clostridiales,o__Cytophagales,o__unidentified,o__Bacteroidales,o__Gastranaerophilales,o__Myxococcales,o__Mycoplasmatales,o__Synergistales
0.001194099,0,0.000115558,0.020993028,0.006086052,0,0.003543777,0,0.00169485,0,0,0,0,0,0.025268672,7.70E-05,0.007472748,0,0.001617811,0,0.037094103,0.000154077,0,0.000192597,0,0,0,0,0.00901352,0,0.001579292,0,3.85E-05,0,0,0,0.000269635,0,0.003851932,0.450598975,0,0.000500751,0.418088671,0.00901352,0,0.001540773,0
0.000731867,0,0,0.027772428,3.85E-05,0,0.016678864,0,0.000808906,3.85E-05,0,0,0,0,0.007087554,0,0.00901352,0,0.000308155,0,0.037710412,0.000346674,0,7.70E-05,0,0,0,0,0.02087747,0,0.004391202,0,0.000192597,0,0,0,0.002041524,0,0.002542275,0.283348099,0,0.000154077,0.569931821,0.01244174,0,0.003466739,0
0.01186395,0,0,0.018797427,0,0,0,0,0.001271137,0,0,0,0,0,0.033126613,0,0.004737876,0,0.001425215,0,0.063556874,3.85E-05,0,0.000231116,0,0,0,0,0.00847425,0,0.006124571,0,3.85E-05,0,0,3.85E-05,0.001001502,3.85E-05,0.000847425,0.54512538,0,0.000231116,0.301683294,0.000462232,0,0.000885944,0
0.000269635,0,0,0.005277146,0.000847425,0,0.078502369,0,0.002927468,0,0,0,0,0,0.010438735,0,0.014367705,0,0.000269635,0,0.013250645,0,0,0,0,0,0,0,0.122876623,0,0.004429722,0,0,0,0.000231116,0,0.00057779,0,0.002311159,0.325257116,0,0.000192597,0.412657448,0.002734872,0,0.002580794,0
0.000654828,0,7.70E-05,0.00789646,0,0,0.035283695,0,0.002349678,0,0.000115558,0,0,0,0.014329186,0,0.001271137,0,0.01244174,0,0.011940988,0,0,0,3.85E-05,0.000154077,0,0,0.146643041,0,0.005161589,0,3.85E-05,0,0.000231116,0,0.005931975,0,0.000462232,0.564269481,7.70E-05,0.000115558,0.18789723,0.000346674,0,0.00227264,0
0.001579292,3.85E-05,0.000192597,0.012826933,0,0,0.025923501,0,0.001001502,3.85E-05,3.85E-05,0,0,0,0.012210624,0,0.006509765,0,0.002503756,0,0.015446246,0,0,0,0,3.85E-05,0,0,0.074573399,0,0.002080043,0,3.85E-05,0,0.00053927,0,0.001425215,0,0.001810408,0.280189515,0,0.000115558,0.559685682,0.000231116,0,0.000962983,0
3.85E-05,3.85E-05,3.85E-05,0.024344209,0.000308155,0,0.089403336,0,0.000385193,0,0,0,0,0,0.010015023,3.85E-05,0.00392897,0,0.004776395,0,0.01298101,0,0,3.85E-05,0,7.70E-05,0,0,0.033974038,0,0.004237125,0,3.85E-05,0,0.000500751,0,0.000231116,0,0.002041524,0.380686414,0,0.000192597,0.429605947,0.001001502,0,0.001078541,0
0,0.000462232,7.70E-05,0.006586803,0.010477254,0,0.004198606,0,0.000885944,3.85E-05,3.85E-05,0,0,0,0.003428219,0,0.006548284,0,0.007241632,0,0.007434228,0,0,0,0,3.85E-05,0,0,0.076537884,0,0.006586803,0,0.000269635,0,0.000847425,3.85E-05,0.002157082,0,0.00053927,0.153846154,0,0.000731867,0.706174647,0.001425215,0,0.0033897,0
0,0.000115558,0,0.026925003,7.70E-05,0,0.056893032,3.85E-05,0.000115558,3.85E-05,3.85E-05,0,0,0,0.0033897,0,0.008936482,0,0.001463734,0,0.001617811,0,0,0,0,0.000231116,0,0,0.204653134,0,0.011748392,0,0.000231116,0,0.00057779,3.85E-05,0.0033897,0,0.000192597,0.210392512,0,0.000115558,0.468086746,0.000115558,0,0.00057779,0
0.000115558,0,7.70E-05,0.006586803,7.70E-05,0,0.054774469,0,0.000192597,0,0,0,0,0,0.005893456,0,0.017564809,0,0.001733369,0,0.027733909,0,0,0,0,0,0,0,0.066792496,0,0.004622318,0,7.70E-05,0,0.000231116,0,0.002080043,0,0.001463734,0.126266323,0,3.85E-05,0.675628828,0.007010516,0,0.001040022,0
