s__swine_fecal_bacterium_SD-Xyl5,s__Sphingobacterium_sp._c49,s__Alistipes_sp._N15.MGS-157,s__Escherichia_coli,s__Bacillus_horikoshii,s__Acinetobacter_baumannii,s__wallaby_gut_metagenome,s__Lactobacillus_delbrueckii_subsp._delbrueckii,s__Rhizobium_radiobacter,s__unidentified,s__Lactobacillus_casei,s__Bacteroidales_bacterium_DJF_B268,s__gut_metagenome,s__Lachnospiraceae_bacterium_613,s__Enterococcus_faecalis,s__Corynebacterium_kutscheri,s__Clostridium_leptum,s__bacterium_YE57,s__Odoribacter_sp._Marseille-P2698,s__bacterium_NLAE-zl-G202,s__Lactococcus_lactis,s__mouse_gut_metagenome,s__bacterium_NLAE-zl-G339,s__Clostridium_sp._ND2,s__Streptococcus_equinus,s__Pseudomonas_aeruginosa,s__Lactobacillus_gasseri,s__Clostridium_sp._Clone-40,s__Corynebacterium_glutamicum,s__Helicobacter_canis,s__Comamonas_testosteroni,s__Achromobacter_xylosoxidans_subsp._xylosoxidans,s__Desulfovibrio_sp._enrichment_culture_clone_Jdgsrb034,s__Pseudomonas_putida,s__Mycoplasma_muris,s__Actinobacillus_muris,s__Delftia_tsuruhatensis,s__Acinetobacter_lwoffii,s__bacterium_enrichment_culture_clone_M244,s__Pasteurella_pneumotropica,s__Chryseobacterium_indologenes,s__Citrobacter_freundii,s__Lactobacillus_vaginalis,s__Firmicutes_bacterium_M10-2,s__Triticum_aestivum_bread_wheat,s__Streptococcus_salivarius_subsp._thermophilus,s__Weissella_confusa,s__Blattella_germanica_German_cockroach,s__Blautia_coccoides,s__Stenotrophomonas_maltophilia,s__Staphylococcus_aureus
0.000770386,0,0,0,3.85E-05,0,0,0,0,0.976118023,0,0,3.85E-05,0,7.70E-05,0,0,0,0,0,0,0.00223412,0,3.85E-05,0,0,0.015715882,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0.000616309,0.004275644,0,0,0,3.85E-05,0,0,0
0,0,0,0,0.000885944,0,0,0,0,0.808520473,0,0,3.85E-05,0,0.003351181,0,0,0,0,0,0,0.000500751,0,0.000847425,0,0,0.124263318,0,0,0.000115558,0,0,0,0,0,0,0,0,0,0,0,0,0.06035977,0.000885944,0,0,0,0,0,0,0.000231116
0,0,0,0,0,0,0.000346674,0,0,0.993605793,0,0,3.85E-05,0,0.000462232,0,7.70E-05,0,0,0,0.004737876,3.85E-05,3.85E-05,0.000346674,0,0,0.000154077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115558,0,0,0,0,3.85E-05,0,0,0
0,0,0,0,7.70E-05,0,0,0,0,0.926274026,0,0,0.000423712,0,0.00281191,0,0,0,0,0,3.85E-05,0.001040022,0,0,0,7.70E-05,0.002080043,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0.001232618,0.065790994,7.70E-05,0,0,3.85E-05,0,0,0
0,0,0,3.85E-05,0,0,0,0,0,0.962636262,0,0,0.000385193,0,0.000269635,0,3.85E-05,0,0,0,3.85E-05,0.028157621,0,0,0,0,0.001810408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0.000962983,0.005469743,7.70E-05,0,0,0,7.70E-05,0,0
0,0,0,0,0.000192597,0,0,0,0,0.942298062,0,0,0,0,3.85E-05,3.85E-05,3.85E-05,0,0,0,0.053503332,0.000423712,0,0.001001502,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,0,0,3.85E-05,0,0,0,0.000308155,0,0.002041524
0,0,0,0,0.005431224,0.000115558,0,0,0,0.840375949,0,0,0.000154077,0,0.000192597,7.70E-05,0,0,0,0,0.147683063,0.000385193,0,0.00053927,0,0,0.002542275,0,0,0,0,0,0,0,0,0,0,7.70E-05,0,0,0,0,7.70E-05,0,0,7.70E-05,0,0,0,3.85E-05,0.00223412
0,0,0,0,3.85E-05,0,0,0,0,0.923423597,0,0,3.85E-05,0,3.85E-05,0,7.70E-05,0,0,0,0.026039059,0.001309657,0,0.000154077,0,0,0.03894303,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0,0,0,0.001271137,7.70E-05,7.70E-05,0,0,0,0,0,0.00847425
0,0,0,0,3.85E-05,0,0,0,0,0.924733254,0,0,0,0,7.70E-05,0,0.000115558,0,0,0,0.070220716,0.001887447,0,0.000770386,0,0,3.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-05,0,0.002080043
0,0,0,3.85E-05,0.000154077,0,0,0,0,0.897538616,0,0,3.85E-05,0,3.85E-05,0,0.000115558,0,0,0,0.078271253,0.001001502,3.85E-05,0.000231116,0,0,0.011594315,0,0,0.00227264,0,0,0,0,0,0,0,0,0,0,0,0,0.008089057,3.85E-05,0,0,0,0,0,0,0.00053927
