c__unidentified,c__Limnochordia,c__Verrucomicrobiae,c__Melainabacteria,c__Deltaproteobacteria,c__Alphaproteobacteria,c__Clostridia,c__Sphingobacteriia,c__Betaproteobacteria,c__Gammaproteobacteria,c__Negativicutes,c__Mollicutes,c__Flavobacteriia,c__Synergistia,c__Bacteroidia,c__Actinobacteria,c__Chlamydiae,c__Anaerolineae,c__Unknown_Class,c__Spirochaetes,c__Coriobacteriia,c__Bacilli,c__Bacteroidetes_vadinHA17,c__Erysipelotrichia,c__Chloroplast,c__Epsilonproteobacteria,c__Cytophagia,c__Deferribacteres
0,0,0.000115558,0.000192597,0.001579292,0.001078541,0.139902161,0,0.004429722,0.001078541,0,0.007626825,0.000115558,0,0.649666808,0.000231116,0,0.000115558,0.010592812,0,0.013866954,0.140749586,0,0.025615346,0.000885944,0.001964485,0,0.000192597
0.000115558,0,3.85E-05,0.001194099,0.015022534,0.007973499,0.340048534,0,0.003004507,7.70E-05,0,0.004699357,3.85E-05,0,0.51523439,0,0,0,0.002696352,0,0.012634336,0.090404838,0,0.002426717,0,0.00396749,0,0.000423712
0,0,0,0.002349678,0.018681869,0.004083048,0.247640692,0,0.004160086,3.85E-05,0,0.026655368,0.000269635,0,0.565270983,0,0,0,0.002657833,0,0.004160086,0.085012134,0,0.016640345,0,0.020607835,0,0.001771889
0.000115558,0,0,0.002041524,0.023496784,0.002965987,0.573591156,0,0.000269635,0.000154077,0,0.023920496,0,3.85E-05,0.268710758,0,0,3.85E-05,0.002773391,0,0.001348176,0.010900967,3.85E-05,0.016486268,0,0.071530372,0,0.001579292
0.000924464,0,0.000115558,0.018373714,0.001078541,0.004121567,0.229498093,0,0.008820924,7.70E-05,0,0.014906976,0,0,0.655406186,0,0,0,0.000616309,0,0.001348176,0.038095605,0,0.023304187,0.000115558,0.003197103,0,0
0.000385193,0,0,0.013751396,0.006702361,0.006894958,0.290820847,0,0.008666846,0.000154077,0,0.008666846,0,0,0.571318516,0,0,0,0.001078541,0,0.006471245,0.017872963,0,0.05134625,3.85E-05,0.015523285,0,0.000308155
0.000308155,0,0,0.006278649,0.012249143,0.004083048,0.457532453,0,0.001386695,0.000231116,0,0.003851932,0,0,0.488540503,3.85E-05,0,3.85E-05,0.001617811,0,0.000770386,0.005200108,0,0.002696352,0,0.014444744,0,0.000731867
0.000308155,0,0,0.008166095,0.009475752,0.004814915,0.441200262,0,0.000962983,0,0,0.021609337,0,0,0.479257348,0,0,0,0.000808906,0,0.007087554,0.006317168,0,0.009937984,3.85E-05,0.00959131,0,0.000423712
0.000423712,0,0.001309657,0.00901352,0.016139594,0.007665344,0.428103694,0,0.004160086,3.85E-05,0.00111706,0.010053542,0,0,0.4548361,0.001194099,0,0,0.001348176,0,0.002349678,0.036824467,0,0.010284658,0.000115558,0.01467586,0,0.000346674
3.85E-05,0,3.85E-05,0.000192597,0.000731867,0.000192597,0.058587882,0.000192597,0.010900967,0.048033589,0,0.003120065,0,0,0.468664535,0.000808906,0,7.70E-05,0.002080043,0,0.017333693,0.307499711,0,0.07222372,3.85E-05,0.009090559,0,0.000154077
7.70E-05,0,7.70E-05,0.001579292,0.005816417,0.001463734,0.217171912,0,0.0033897,0.009629829,0,0.005700859,0,0,0.630830862,0.000115558,0,0,0.004468241,0,0.006394207,0.063633912,0,0.024536805,0,0.02484496,0,0.000269635
7.70E-05,0,0,7.70E-05,0.006355687,0.004699357,0.2957128,0,0.005238627,0.011632834,0,0.00396749,0,0,0.545780209,3.85E-05,0,0,0.001309657,0,0.007511267,0.10893263,0,0.003813412,0,0.004583799,0,0.000269635
